Name,Link,ID
Allen Hospital,http://www.hospitalsafetyscore.org/h/allen-hospital,87
Alliance Community Hospital,http://www.hospitalsafetyscore.org/h/alliance-community-hospital,88
AllianceHealth Durant,http://www.hospitalsafetyscore.org/h/alliancehealth-durant,89
AllianceHealth Ponca City,http://www.hospitalsafetyscore.org/h/alliancehealth-ponca-city,90
AllianceHealth Woodward,http://www.hospitalsafetyscore.org/h/alliancehealth-woodward,91
Alomere Health,http://www.hospitalsafetyscore.org/h/alomere-health,92
Alta Bates Summit Medical Center,http://www.hospitalsafetyscore.org/h/alta-bates-summit-medical-center,93
Alta Bates Summit Medical Center - Alta Bates Campus,http://www.hospitalsafetyscore.org/h/alta-bates-summit-medical-center-alta-bates-campus,94
Alton Memorial Hospital,http://www.hospitalsafetyscore.org/h/alton-memorial-hospital,95
Altru Health System,http://www.hospitalsafetyscore.org/h/altru-health-system,96
Alvarado Hospital Medical Center,http://www.hospitalsafetyscore.org/h/alvarado-hospital-medical-center,97
AnMed Medical Center,http://www.hospitalsafetyscore.org/h/anmed-medical-center,98
Anaheim Global Medical Center,http://www.hospitalsafetyscore.org/h/anaheim-global-medical-center,99
Andalusia Health,http://www.hospitalsafetyscore.org/h/andalusia-health,100
Anderson Hospital,http://www.hospitalsafetyscore.org/h/anderson-hospital,101
Anderson Regional Medical Center - North,http://www.hospitalsafetyscore.org/h/anderson-regional-medical-center-north,102
Anna Jaques Hospital,http://www.hospitalsafetyscore.org/h/anna-jaques-hospital,103
Annie Penn Hospital,http://www.hospitalsafetyscore.org/h/annie-penn-hospital,104
Antelope Valley Medical Center,http://www.hospitalsafetyscore.org/h/antelope-valley-medical-center,105
Arkansas Methodist Medical Center,http://www.hospitalsafetyscore.org/h/arkansas-methodist-medical-center,106
Arnot Ogden Medical Center,http://www.hospitalsafetyscore.org/h/arnot-ogden-medical-center,107
Arrowhead Regional Medical Center,http://www.hospitalsafetyscore.org/h/arrowhead-regional-medical-center,108
Arroyo Grande Community Hospital,http://www.hospitalsafetyscore.org/h/arroyo-grande-community-hospital,109
Asante Ashland Community Hospital,http://www.hospitalsafetyscore.org/h/asante-ashland-community-hospital,110
Asante Rogue Regional Medical Center,http://www.hospitalsafetyscore.org/h/asante-rogue-regional-medical-center,111
Asante Three Rivers Medical Center,http://www.hospitalsafetyscore.org/h/asante-three-rivers-medical-center,112
Ascension Alexian Brothers,http://www.hospitalsafetyscore.org/h/ascension-alexian-brothers,113
Ascension All Saints Hospital,http://www.hospitalsafetyscore.org/h/ascension-all-saints-hospital,114
Ascension Borgess Hospital,http://www.hospitalsafetyscore.org/h/ascension-borgess-hospital,115
Ascension Columbia St Mary's Hospital Milwaukee,http://www.hospitalsafetyscore.org/h/ascension-columbia-st-marys-hospital-milwaukee,116
Ascension Columbia St Mary's Hospital Ozaukee,http://www.hospitalsafetyscore.org/h/ascension-columbia-st-marys-hospital-ozaukee,117
Ascension Genesys Hospital,http://www.hospitalsafetyscore.org/h/ascension-genesys-hospital,118
"Ascension Macomb-Oakland Hospital, Madison Heights Campus",http://www.hospitalsafetyscore.org/h/ascension-macomb-oakland-hospital-madison-heights-campus,119
"Ascension Macomb-Oakland Hospital, Warren Campus",http://www.hospitalsafetyscore.org/h/ascension-macomb-oakland-hospital-warren-campus,120
Ascension Mercy,http://www.hospitalsafetyscore.org/h/ascension-mercy,121
Ascension NE Wisconsin - Mercy Campus,http://www.hospitalsafetyscore.org/h/ascension-ne-wisconsin-mercy-campus,122
Ascension NE Wisconsin - St Elizabeth Campus,http://www.hospitalsafetyscore.org/h/ascension-ne-wisconsin-st-elizabeth-campus,123
Ascension Providence,http://www.hospitalsafetyscore.org/h/ascension-providence,124
"Ascension Providence Hospital, Novi Campus",http://www.hospitalsafetyscore.org/h/ascension-providence-hospital-novi-campus,125
"Ascension Providence Hospital, Southfield Campus",http://www.hospitalsafetyscore.org/h/ascension-providence-hospital-southfield-campus,126
Ascension Providence Rochester Hospital,http://www.hospitalsafetyscore.org/h/ascension-providence-rochester-hospital,127
Ascension Resurrection Medical Center,http://www.hospitalsafetyscore.org/h/ascension-resurrection-medical-center,128
Ascension River District Hospital,http://www.hospitalsafetyscore.org/h/ascension-river-district-hospital,129
Ascension SE Wisconsin Hospital - Elmbrook Campus,http://www.hospitalsafetyscore.org/h/ascension-se-wisconsin-hospital-elmbrook-campus,130
Ascension SE Wisconsin Hospital - Franklin Campus,http://www.hospitalsafetyscore.org/h/ascension-se-wisconsin-hospital-franklin-campus,131
Ascension SE Wisconsin Hospital - St. Joseph Campus,http://www.hospitalsafetyscore.org/h/ascension-se-wisconsin-hospital-st-joseph-campus,132
Ascension Sacred Heart Hospital Bay,http://www.hospitalsafetyscore.org/h/ascension-sacred-heart-hospital-bay,133
Ascension Sacred Heart Pensacola,http://www.hospitalsafetyscore.org/h/ascension-sacred-heart-pensacola,134
Ascension Saint Agnes Hospital,http://www.hospitalsafetyscore.org/h/ascension-saint-agnes-hospital,135
Ascension Saint Alexius,http://www.hospitalsafetyscore.org/h/ascension-saint-alexius,136
Ascension Saint Francis,http://www.hospitalsafetyscore.org/h/ascension-saint-francis,137
Ascension Saint Joseph - Joliet,http://www.hospitalsafetyscore.org/h/ascension-saint-joseph-joliet,138
Ascension Saint Joseph-Chicago,http://www.hospitalsafetyscore.org/h/ascension-saint-joseph-chicago,139
Ascension Saint Joseph-Elgin,http://www.hospitalsafetyscore.org/h/ascension-saint-joseph-elgin,140
Ascension Saint Mary-Chicago,http://www.hospitalsafetyscore.org/h/ascension-saint-mary-chicago,141
Ascension Saint Mary-Kankakee,http://www.hospitalsafetyscore.org/h/ascension-saint-mary-kankakee,142
Ascension Saint Thomas Midtown Hospital,http://www.hospitalsafetyscore.org/h/ascension-saint-thomas-midtown-hospital,143
Ascension Saint Thomas Rutherford Hospital,http://www.hospitalsafetyscore.org/h/ascension-saint-thomas-rutherford-hospital,144
Ascension Saint Thomas West Hospital,http://www.hospitalsafetyscore.org/h/ascension-saint-thomas-west-hospital,145
Ascension Seton Hays,http://www.hospitalsafetyscore.org/h/ascension-seton-hays,146
Ascension Seton Medical Center Austin,http://www.hospitalsafetyscore.org/h/ascension-seton-medical-center-austin,147
Ascension Seton Northwest,http://www.hospitalsafetyscore.org/h/ascension-seton-northwest,148
Ascension Seton Williamson,http://www.hospitalsafetyscore.org/h/ascension-seton-williamson,149
Ascension St John Hospital,http://www.hospitalsafetyscore.org/h/ascension-st-john-hospital,150
Ascension St Joseph Hospital,http://www.hospitalsafetyscore.org/h/ascension-st-joseph-hospital,151
Ascension St Mary's Hospital,http://www.hospitalsafetyscore.org/h/ascension-st-marys-hospital,152
Ascension St. Francis Hospital,http://www.hospitalsafetyscore.org/h/ascension-st-francis-hospital,153
Ascension St. John Broken Arrow,http://www.hospitalsafetyscore.org/h/ascension-st-john-broken-arrow,154
Ascension St. John Jane Phillips Medical Center,http://www.hospitalsafetyscore.org/h/ascension-st-john-jane-phillips-medical-center,155
Ascension St. John Medical Center,http://www.hospitalsafetyscore.org/h/ascension-st-john-medical-center,156
Ascension St. John Owasso,http://www.hospitalsafetyscore.org/h/ascension-st-john-owasso,157
Ascension St. Vincent Evansville,http://www.hospitalsafetyscore.org/h/ascension-st-vincent-evansville,158
Ascension St. Vincent Fishers Hospital,http://www.hospitalsafetyscore.org/h/ascension-st-vincent-fishers-hospital,159
Ascension St. Vincent Kokomo,http://www.hospitalsafetyscore.org/h/ascension-st-vincent-kokomo,160
Ascension St. Vincent's Riverside,http://www.hospitalsafetyscore.org/h/ascension-st-vincents-riverside,161
Ascension Via Christi Hospital Pittsburg,http://www.hospitalsafetyscore.org/h/ascension-via-christi-hospital-pittsburg,162
"Ascension Via Christi Hospital Wichita St Joseph, Inc.",http://www.hospitalsafetyscore.org/h/ascension-via-christi-hospital-wichita-st-joseph-inc,163
"Ascension Via Christi Hospital Wichita St Teresa, Inc.",http://www.hospitalsafetyscore.org/h/ascension-via-christi-hospital-wichita-st-teresa-inc,164
Ascension Via Christi Hospitals Wichita - St Francis,http://www.hospitalsafetyscore.org/h/ascension-via-christi-hospitals-wichita-st-francis,165
"Ascension Via Christi Manhattan Hospital, Inc.",http://www.hospitalsafetyscore.org/h/ascension-via-christi-manhattan-hospital-inc,166
Ashley Regional Medical Center,http://www.hospitalsafetyscore.org/h/ashley-regional-medical-center,167
Ashtabula County Medical Center,http://www.hospitalsafetyscore.org/h/ashtabula-county-medical-center,168
Aspirus Divine Savior Hospital,http://www.hospitalsafetyscore.org/h/aspirus-divine-savior-hospital,169
Aspirus Rhinelander Hospital,http://www.hospitalsafetyscore.org/h/aspirus-rhinelander-hospital,170
Aspirus Riverview Hospital,http://www.hospitalsafetyscore.org/h/aspirus-riverview-hospital,171
Aspirus Stevens Point Hospital,http://www.hospitalsafetyscore.org/h/aspirus-stevens-point-hospital,172
Aspirus Wausau Hospital,http://www.hospitalsafetyscore.org/h/aspirus-wausau-hospital,173
Athens-Limestone Hospital,http://www.hospitalsafetyscore.org/h/athens-limestone-hospital,174
Atlantic General Hospital,http://www.hospitalsafetyscore.org/h/atlantic-general-hospital,175
Atlanticare Regional Medical Center - City Campus,http://www.hospitalsafetyscore.org/h/atlanticare-regional-medical-center-city-campus,176
Atlanticare Regional Medical Center-Mainland Campus,http://www.hospitalsafetyscore.org/h/atlanticare-regional-medical-center-mainland-campus,177
Atmore Community Hospital,http://www.hospitalsafetyscore.org/h/atmore-community-hospital,178
Atrium Health - Mercy,http://www.hospitalsafetyscore.org/h/atrium-health-mercy,179
Atrium Health Cabarrus,http://www.hospitalsafetyscore.org/h/atrium-health-cabarrus,180
Atrium Health Cleveland,http://www.hospitalsafetyscore.org/h/atrium-health-cleveland,181
Atrium Health Floyd Medical Center,http://www.hospitalsafetyscore.org/h/atrium-health-floyd-medical-center,182
Atrium Health Kings Mountain,http://www.hospitalsafetyscore.org/h/atrium-health-kings-mountain,183
Atrium Health Lincoln,http://www.hospitalsafetyscore.org/h/atrium-health-lincoln,184
Atrium Health Navicent Baldwin,http://www.hospitalsafetyscore.org/h/atrium-health-navicent-baldwin,185
"Atrium Health Navicent, Medical Center",http://www.hospitalsafetyscore.org/h/atrium-health-navicent-medical-center,186
Atrium Health Pineville,http://www.hospitalsafetyscore.org/h/atrium-health-pineville,187
Atrium Health Stanly,http://www.hospitalsafetyscore.org/h/atrium-health-stanly,188
Atrium Health Union,http://www.hospitalsafetyscore.org/h/atrium-health-union,189
Atrium Health University City,http://www.hospitalsafetyscore.org/h/atrium-health-university-city,190
Atrium Health Wake Forest Baptist,http://www.hospitalsafetyscore.org/h/atrium-health-wake-forest-baptist,191
Atrium Health Wake Forest Baptist - Davie Medical Center,http://www.hospitalsafetyscore.org/h/atrium-health-wake-forest-baptist-davie-medical-center,192
Atrium Health Wake Forest Baptist Health Wilkes Medical Center,http://www.hospitalsafetyscore.org/h/atrium-health-wake-forest-baptist-health-wilkes-medical-center,193
Atrium Health Wake Forest Baptist High Point Medical Center,http://www.hospitalsafetyscore.org/h/atrium-health-wake-forest-baptist-high-point-medical-center,194
Atrium Health Wake Forest Baptist Lexington Medical Center,http://www.hospitalsafetyscore.org/h/atrium-health-wake-forest-baptist-lexington-medical-center,195
Atrium Medical Center,http://www.hospitalsafetyscore.org/h/atrium-medical-center,196
Auburn Community Hospital,http://www.hospitalsafetyscore.org/h/auburn-community-hospital,197
Augusta Health,http://www.hospitalsafetyscore.org/h/augusta-health,198
Aultman Hospital,http://www.hospitalsafetyscore.org/h/aultman-hospital,199
Aurelia Osborn Fox Memorial Hospital,http://www.hospitalsafetyscore.org/h/aurelia-osborn-fox-memorial-hospital,200
Aurora BayCare Medical Center,http://www.hospitalsafetyscore.org/h/aurora-baycare-medical-center,201
Aurora Lakeland Medical Center,http://www.hospitalsafetyscore.org/h/aurora-lakeland-medical-center,202
Aurora Medical Center Bay Area,http://www.hospitalsafetyscore.org/h/aurora-medical-center-bay-area,203
Aurora Medical Center Burlington,http://www.hospitalsafetyscore.org/h/aurora-medical-center-burlington,204
Aurora Medical Center Grafton,http://www.hospitalsafetyscore.org/h/aurora-medical-center-grafton,205
Aurora Medical Center Manitowoc County,http://www.hospitalsafetyscore.org/h/aurora-medical-center-manitowoc-county,206
Aurora Medical Center Sheboygan County,http://www.hospitalsafetyscore.org/h/aurora-medical-center-sheboygan-county,207
Aurora Medical Center Summit,http://www.hospitalsafetyscore.org/h/aurora-medical-center-summit,208
Aurora Medical Center of Kenosha,http://www.hospitalsafetyscore.org/h/aurora-medical-center-of-kenosha,209
Aurora Medical Center of Oshkosh,http://www.hospitalsafetyscore.org/h/aurora-medical-center-of-oshkosh,210
Aurora Medical Center of Washington County,http://www.hospitalsafetyscore.org/h/aurora-medical-center-of-washington-county,211
Aurora Sinai Medical Center,http://www.hospitalsafetyscore.org/h/aurora-sinai-medical-center,212
"Aurora St Luke's Medical Center of Aurora Health Care Metro, Inc",http://www.hospitalsafetyscore.org/h/aurora-st-lukes-medical-center-of-aurora-health-care-metro,213
Aurora St. Luke's South Shore of Aurora Health Care Metro,http://www.hospitalsafetyscore.org/h/aurora-st-lukes-south-shore-of-aurora-health-care-metro,214
Aurora West Allis Medical Center,http://www.hospitalsafetyscore.org/h/aurora-west-allis-medical-center,215
Avera McKennan Hospital and University Health Center,http://www.hospitalsafetyscore.org/h/avera-mckennan-hospital-and-university-health-center,216
Avera Queen of Peace Hospital,http://www.hospitalsafetyscore.org/h/avera-queen-of-peace-hospital,217
Avera Sacred Heart Hospital,http://www.hospitalsafetyscore.org/h/avera-sacred-heart-hospital,218
Avera St Mary's Hospital,http://www.hospitalsafetyscore.org/h/avera-st-marys-hospital,219
Avera St. Luke's Hospital,http://www.hospitalsafetyscore.org/h/avera-st-lukes-hospital,220
BANNER - UNIVERSITY MEDICAL CENTER PHOENIX,http://www.hospitalsafetyscore.org/h/banner-university-medical-center-phoenix,221
BANNER BOSWELL MEDICAL CENTER,http://www.hospitalsafetyscore.org/h/banner-boswell-medical-center,222
BANNER DEL E WEBB MEDICAL CENTER,http://www.hospitalsafetyscore.org/h/banner-del-e-webb-medical-center,223
BANNER DESERT MEDICAL CENTER,http://www.hospitalsafetyscore.org/h/banner-desert-medical-center,224
BANNER ESTRELLA MEDICAL CENTER,http://www.hospitalsafetyscore.org/h/banner-estrella-medical-center,225
BANNER GATEWAY MEDICAL CENTER,http://www.hospitalsafetyscore.org/h/banner-gateway-medical-center,226
BANNER THUNDERBIRD MEDICAL CENTER,http://www.hospitalsafetyscore.org/h/banner-thunderbird-medical-center,227
BSA Hospital,http://www.hospitalsafetyscore.org/h/bsa-hospital,228
Bailey Medical Center LLC,http://www.hospitalsafetyscore.org/h/bailey-medical-center-llc,229
Bakersfield Heart Hospital,http://www.hospitalsafetyscore.org/h/bakersfield-heart-hospital,230
Bakersfield Memorial Hospital,http://www.hospitalsafetyscore.org/h/bakersfield-memorial-hospital,231
Banner Baywood Medical Center,http://www.hospitalsafetyscore.org/h/banner-baywood-medical-center,232
Banner Casa Grande Medical Center,http://www.hospitalsafetyscore.org/h/banner-casa-grande-medical-center,233
Banner Fort Collins Medical Center,http://www.hospitalsafetyscore.org/h/banner-fort-collins-medical-center,234
Banner Ironwood Medical Center,http://www.hospitalsafetyscore.org/h/banner-ironwood-medical-center,235
Banner Ocotillo Medical Center,http://www.hospitalsafetyscore.org/h/banner-ocotillo-medical-center,236
Banner University Medical Center-South,http://www.hospitalsafetyscore.org/h/banner-university-medical-center-south,237
Banner University Medical Center-Tucson,http://www.hospitalsafetyscore.org/h/banner-university-medical-center-tucson,238
Baptist Health - Fort Smith,http://www.hospitalsafetyscore.org/h/baptist-health-fort-smith,239
Baptist Health Baptist Hospital of Miami,http://www.hospitalsafetyscore.org/h/baptist-health-baptist-hospital-of-miami,240
Baptist Health Bethesda Hospital East,http://www.hospitalsafetyscore.org/h/baptist-health-bethesda-hospital-east,241
Baptist Health Bethesda Hospital West,http://www.hospitalsafetyscore.org/h/baptist-health-bethesda-hospital-west,242
Baptist Health Boca Raton Regional Hospital,http://www.hospitalsafetyscore.org/h/baptist-health-boca-raton-regional-hospital,243
Baptist Health Corbin,http://www.hospitalsafetyscore.org/h/baptist-health-corbin,244
Baptist Health Deaconess Madisonville,http://www.hospitalsafetyscore.org/h/baptist-health-deaconess-madisonville,245
Baptist Health Doctors Hospital,http://www.hospitalsafetyscore.org/h/baptist-health-doctors-hospital,246
Baptist Health Floyd,http://www.hospitalsafetyscore.org/h/baptist-health-floyd,247
Baptist Health Hardin,http://www.hospitalsafetyscore.org/h/baptist-health-hardin,248
Baptist Health Homestead Hospital,http://www.hospitalsafetyscore.org/h/baptist-health-homestead-hospital,249
Baptist Health La Grange,http://www.hospitalsafetyscore.org/h/baptist-health-la-grange,250
Baptist Health Lexington,http://www.hospitalsafetyscore.org/h/baptist-health-lexington,251
Baptist Health Louisville,http://www.hospitalsafetyscore.org/h/baptist-health-louisville,252
Baptist Health Medical Center - Conway,http://www.hospitalsafetyscore.org/h/baptist-health-medical-center-conway,253
Baptist Health Medical Center - North Little Rock,http://www.hospitalsafetyscore.org/h/baptist-health-medical-center-north-little-rock,254
Baptist Health Medical Center-Little Rock,http://www.hospitalsafetyscore.org/h/baptist-health-medical-center-little-rock,255
Baptist Health Paducah,http://www.hospitalsafetyscore.org/h/baptist-health-paducah,256
Baptist Health Richmond,http://www.hospitalsafetyscore.org/h/baptist-health-richmond,257
Baptist Health South Miami Hospital,http://www.hospitalsafetyscore.org/h/baptist-health-south-miami-hospital,258
Baptist Health West Kendall Baptist Hospital,http://www.hospitalsafetyscore.org/h/baptist-health-west-kendall-baptist-hospital,259
Baptist Hospital,http://www.hospitalsafetyscore.org/h/baptist-hospital,260
Baptist Hospital of Southeast Texas,http://www.hospitalsafetyscore.org/h/baptist-hospital-of-southeast-texas,261
Baptist Medical Center,http://www.hospitalsafetyscore.org/h/baptist-medical-center,262
Baptist Medical Center Beaches,http://www.hospitalsafetyscore.org/h/baptist-medical-center-beaches,263
Baptist Medical Center East,http://www.hospitalsafetyscore.org/h/baptist-medical-center-east,264
Baptist Medical Center Jacksonville,http://www.hospitalsafetyscore.org/h/baptist-medical-center-jacksonville,265
Baptist Medical Center Nassau,http://www.hospitalsafetyscore.org/h/baptist-medical-center-nassau,266
Baptist Medical Center South,http://www.hospitalsafetyscore.org/h/baptist-medical-center-south-montgomery-al,267
Baptist Medical Center South,http://www.hospitalsafetyscore.org/h/baptist-medical-center-south-jacksonville-fl,268
Baptist Memorial Hospital - Booneville,http://www.hospitalsafetyscore.org/h/baptist-memorial-hospital-booneville,269
Baptist Memorial Hospital - Carroll County,http://www.hospitalsafetyscore.org/h/baptist-memorial-hospital-carroll-county,270
Baptist Memorial Hospital - North Mississippi,http://www.hospitalsafetyscore.org/h/baptist-memorial-hospital-north-mississippi,271
Baptist Memorial Hospital - Union City,http://www.hospitalsafetyscore.org/h/baptist-memorial-hospital-union-city,272
Baptist Memorial Hospital DeSoto,http://www.hospitalsafetyscore.org/h/baptist-memorial-hospital-desoto,273
Baptist Memorial Hospital Golden Triangle,http://www.hospitalsafetyscore.org/h/baptist-memorial-hospital-golden-triangle,274
Baptist Memorial Hospital of Collierville,http://www.hospitalsafetyscore.org/h/baptist-memorial-hospital-of-collierville,275
Baptist Memorial Hospital of Memphis,http://www.hospitalsafetyscore.org/h/baptist-memorial-hospital-of-memphis,276
Baptist Memorial Hospital of Union County,http://www.hospitalsafetyscore.org/h/baptist-memorial-hospital-of-union-county,277
Barnes-Jewish Hospital,http://www.hospitalsafetyscore.org/h/barnes-jewish-hospital,278
Barnes-Jewish St. Peters Hospital,http://www.hospitalsafetyscore.org/h/barnes-jewish-st-peters-hospital,279
Barnes-Jewish West County Hospital,http://www.hospitalsafetyscore.org/h/barnes-jewish-west-county-hospital,280
